DateTime,Players
27/05/2014,136515
28/05/2014,133703
29/05/2014,128874
30/05/2014,127206
31/05/2014,141587
01/06/2014,164134
02/06/2014,133685
03/06/2014,131590
04/06/2014,128045
05/06/2014,125517
06/06/2014,124209
07/06/2014,133192
08/06/2014,130675
09/06/2014,137338
10/06/2014,133723
11/06/2014,130179
12/06/2014,121324
13/06/2014,125319
14/06/2014,139039
15/06/2014,147677
16/06/2014,144416
17/06/2014,139352
18/06/2014,131798
19/06/2014,123559
20/06/2014,123722
21/06/2014,148769
22/06/2014,145153
23/06/2014,146010
24/06/2014,150051
25/06/2014,154182
26/06/2014,146875
27/06/2014,145018
28/06/2014,162626
29/06/2014,165292
30/06/2014,160439
01/07/2014,194016
02/07/2014,183071
03/07/2014,170854
04/07/2014,157654
05/07/2014,173510
06/07/2014,171220
07/07/2014,163294
08/07/2014,158216
09/07/2014,158035
10/07/2014,162225
11/07/2014,160536
12/07/2014,150723
13/07/2014,165848
14/07/2014,165791
15/07/2014,161747
16/07/2014,156178
17/07/2014,153326
18/07/2014,145907
19/07/2014,162164
20/07/2014,156268
21/07/2014,163137
22/07/2014,158315
23/07/2014,156353
24/07/2014,152883
25/07/2014,151488
26/07/2014,167430
27/07/2014,171261
28/07/2014,167757
29/07/2014,166642
30/07/2014,161796
31/07/2014,162881
01/08/2014,277192
02/08/2014,178670
03/08/2014,189853
04/08/2014,186021
05/08/2014,170376
06/08/2014,180958
07/08/2014,178871
08/08/2014,176850
09/08/2014,191704
10/08/2014,183412
11/08/2014,184545
12/08/2014,187733
13/08/2014,227074
14/08/2014,224200
15/08/2014,247871
16/08/2014,275014
17/08/2014,245554
18/08/2014,220847
19/08/2014,217633
20/08/2014,212574
21/08/2014,208364
22/08/2014,210841
23/08/2014,228936
24/08/2014,213502
25/08/2014,211170
26/08/2014,200193
27/08/2014,208428
28/08/2014,209288
29/08/2014,220227
30/08/2014,220409
31/08/2014,227276
01/09/2014,242494
02/09/2014,205170
03/09/2014,199955
04/09/2014,216998
05/09/2014,232911
06/09/2014,241620
07/09/2014,217032
08/09/2014,209270
09/09/2014,204605
10/09/2014,207622
11/09/2014,225640
12/09/2014,240450
13/09/2014,239484
14/09/2014,225370
15/09/2014,212225
16/09/2014,212261
17/09/2014,212285
18/09/2014,221505
19/09/2014,235786
20/09/2014,235997
21/09/2014,218868
22/09/2014,211890
23/09/2014,207820
24/09/2014,168851
25/09/2014,216907
26/09/2014,237650
27/09/2014,242527
28/09/2014,216806
29/09/2014,212896
30/09/2014,214183
01/10/2014,260613
02/10/2014,224909
03/10/2014,249492
04/10/2014,247227
05/10/2014,224048
06/10/2014,218072
07/10/2014,218373
08/10/2014,214641
09/10/2014,229962
10/10/2014,241017
11/10/2014,249290
12/10/2014,242077
13/10/2014,223341
14/10/2014,220268
15/10/2014,209703
16/10/2014,224605
17/10/2014,242915
18/10/2014,239715
19/10/2014,221691
20/10/2014,224156
21/10/2014,220154
22/10/2014,225079
23/10/2014,234616
24/10/2014,252951
25/10/2014,261555
26/10/2014,234996
27/10/2014,229765
28/10/2014,228824
29/10/2014,232119
30/10/2014,225555
31/10/2014,252664
01/11/2014,348018
02/11/2014,252187
03/11/2014,228545
04/11/2014,226173
05/11/2014,234215
06/11/2014,236933
07/11/2014,256821
08/11/2014,253667
09/11/2014,239776
10/11/2014,239319
11/11/2014,257322
12/11/2014,241651
13/11/2014,254306
14/11/2014,270707
15/11/2014,264525
16/11/2014,237396
17/11/2014,230615
18/11/2014,233909
19/11/2014,227018
20/11/2014,239704
21/11/2014,238536
22/11/2014,263723
23/11/2014,244634
24/11/2014,225206
25/11/2014,252065
26/11/2014,309116
27/11/2014,329206
28/11/2014,349462
29/11/2014,330573
30/11/2014,298410
01/12/2014,367634
02/12/2014,286289
03/12/2014,282730
04/12/2014,296645
05/12/2014,296110
06/12/2014,309816
07/12/2014,297178
08/12/2014,288325
09/12/2014,285266
10/12/2014,283191
11/12/2014,297185
12/12/2014,317354
13/12/2014,317040
14/12/2014,295428
15/12/2014,293914
16/12/2014,290357
17/12/2014,290018
18/12/2014,295737
19/12/2014,314777
20/12/2014,318366
21/12/2014,317470
22/12/2014,311679
23/12/2014,299758
24/12/2014,285838
25/12/2014,319559
26/12/2014,349626
27/12/2014,359662
28/12/2014,364666
29/12/2014,368024
30/12/2014,369561
31/12/2014,359692
01/01/2015,443188
02/01/2015,383943
03/01/2015,398639
04/01/2015,389040
05/01/2015,376364
06/01/2015,376364
07/01/2015,375622
08/01/2015,440458
09/01/2015,443991
10/01/2015,443991
11/01/2015,384553
12/01/2015,386492
13/01/2015,382747
14/01/2015,381328
15/01/2015,405872
16/01/2015,442871
17/01/2015,442380
18/01/2015,377789
19/01/2015,391559
20/01/2015,380689
21/01/2015,379248
22/01/2015,399062
23/01/2015,430861
24/01/2015,423350
